name,version,batch,status,tasks_finished,dur_mins,started,progressed,complete,assignmentId,hitId,trials,return,profile,workerId,pid
superb-werewolf,4,a,finished,3,13,2021-10-13 19:39:18.073,2021-10-13 19:51:14.399,0,prolific_6165a5744ac311682252f608,61673343c72fdbf2f78c1a4c,0,https://cri-datacap.org/surveys/?s=G33ShVZCC4,2,615e414028ec238978febf2d,13334
musical-donkey,4,a,finished,3,13,2021-10-13 19:39:22.163,2021-10-13 19:52:27.806,0,prolific_6165a5744ac311682252f608,616733f14cdaa202203437fd,0,https://cri-datacap.org/surveys/?s=vFudAbFVRx,2,615f54a5141128cf81b7e857,13334
national-albacore,4,a,finished,3,13,2021-10-13 19:39:58.437,2021-10-13 19:51:30.467,0,prolific_6165a5744ac311682252f608,6167344018f191966bc97a66,0,https://cri-datacap.org/surveys/?s=JYURItjViH,2,60fd0adca696b6ceb4d32318,13334
master-gannet,4,a,finished,3,13,2021-10-13 19:40:02.542,2021-10-13 19:52:26.207,0,prolific_6165a5744ac311682252f608,61673396f21bd9d057976d54,0,https://cri-datacap.org/surveys/?s=ioN72Vb8AM,2,61661a63a847bd28eeb8ae46,13334
next-civet,4,a,finished,3,13,2021-10-13 19:40:22.371,2021-10-13 19:51:24.860,1,prolific_6165a5744ac311682252f608,61673077bd83ffd965b824fe,0,https://cri-datacap.org/surveys/?s=tCdL6wGJ7o,0,614a414b5ae09058b43fc90b,13334
light-herring,4,a,finished,3,13,2021-10-13 19:45:46.902,2021-10-13 19:58:48.898,0,prolific_6165a5744ac311682252f608,616734e58ab22b351bd9674a,0,https://cri-datacap.org/surveys/?s=tW7MbqU3R7,2,61119add8a41b7a570c9b3dc,13334
welcomed-deer,4,a,finished,3,13,2021-10-13 19:49:57.915,2021-10-13 20:00:41.081,1,prolific_6165a5744ac311682252f608,616731e469682e8f770a9b8d,0,https://cri-datacap.org/surveys/?s=fzy6XecwBI,0,613910ff0126a33710e833e6,13334
upright-fawn,4,a,finished,3,13,2021-10-13 19:50:00.235,2021-10-13 20:04:50.081,0,prolific_6165a5744ac311682252f608,616736494c4a34d599233c21,0,https://cri-datacap.org/surveys/?s=y9QVNXHJS8,2,60fe0af3873870421eff21b4,13334
keen-lynx,4,a,finished,3,13,2021-10-13 20:00:27.690,2021-10-13 20:42:25.714,0,prolific_6165a5744ac311682252f608,6167376fcc2c767911d9787b,0,https://cri-datacap.org/surveys/?s=4Ew2EGxVeY,2,59306fc35f170a00014358da,13334
driving-joey,4,a,finished,3,13,2021-10-13 20:02:39.826,2021-10-13 20:13:50.956,0,prolific_6165a5744ac311682252f608,61673810004d1f81c85d53b3,0,https://cri-datacap.org/surveys/?s=K7uFwshJHU,2,6111260791585aed439870cb,13334
better-quetzal,4,a,finished,3,13,2021-10-13 20:03:17.766,2021-10-13 20:14:33.560,1,prolific_6165a5744ac311682252f608,616733dcd4ef490b7ac235a7,0,https://cri-datacap.org/surveys/?s=SfeyJ5zGQW,0,615b644f06b51b52c7c0c404,13334
crucial-chamois,4,a,finished,3,13,2021-10-13 20:07:03.782,2021-10-13 20:18:45.330,0,prolific_6165a5744ac311682252f608,616737dcf5c25a0274903570,0,https://cri-datacap.org/surveys/?s=XdmQ3dTVcL,2,6130bfc61844b33acb432063,13334
safe-oyster,4,a,finished,3,13,2021-10-13 20:18:29.989,2021-10-13 20:29:12.987,1,prolific_6165a5744ac311682252f608,61673679e4e923fb10dacfe2,0,https://cri-datacap.org/surveys/?s=xZzs2cZCDW,0,601127a944914c000981d59b,13334
