name,version,batch,status,tasks_finished,dur_mins,started,progressed,profile,complete,assignmentId,trials,hitId,workerId,pid,return
adjusted-mustang,4,a,finished,3,13,2021-10-13 19:26:24.981,2021-10-13 19:37:56.467,0,1,prolific_6165a5744ac311682252f608,0,61672986e732a9173cd7820e,614beda2ac4673a322e2b132,13334,https://cri-datacap.org/surveys/?s=NG6BsGCD35
gorgeous-dory,4,a,finished,3,13,2021-10-13 19:31:54.183,2021-10-13 19:43:43.514,1,0,prolific_6165a5744ac311682252f608,0,616731e469682e8f770a9b8d,613910ff0126a33710e833e6,13334,https://cri-datacap.org/surveys/?s=fzy6XecwBI
rested-starfish,4,a,finished,3,13,2021-10-13 19:36:53.306,2021-10-13 19:48:00.294,0,1,prolific_6165a5744ac311682252f608,0,61672992feef5d5c4b1a48ad,60fd80043ee77f5be40c95a8,13334,https://cri-datacap.org/surveys/?s=HgjYRWXe7a
key-escargot,4,a,finished,3,13,2021-10-13 19:42:42.948,2021-10-13 19:53:48.831,0,1,prolific_6165a5744ac311682252f608,0,6167305e20dceed6232eb11d,610897dc497d9f84c7a8d12b,13334,https://cri-datacap.org/surveys/?s=oQ9Uep2TbZ
hardy-racer,4,a,finished,3,13,2021-10-13 19:43:37.337,2021-10-13 19:57:20.439,1,0,prolific_6165a5744ac311682252f608,0,616733dcd4ef490b7ac235a7,615b644f06b51b52c7c0c404,13334,https://cri-datacap.org/surveys/?s=SfeyJ5zGQW
destined-escargot,4,a,finished,3,13,2021-10-13 19:53:40.298,2021-10-13 20:04:28.802,0,1,prolific_6165a5744ac311682252f608,0,6167316359fd9244142f386a,610891856bfaa68af2980719,13334,https://cri-datacap.org/surveys/?s=wTIxmwZ3W3
finer-walleye,4,a,finished,3,13,2021-10-13 19:54:42.787,2021-10-13 20:05:32.175,0,1,prolific_6165a5744ac311682252f608,0,61673313f09f3cbd1ea39c1c,615f308f53b6cf616529f505,13334,https://cri-datacap.org/surveys/?s=dFxfiVLjUQ
smashing-ray,4,a,finished,3,13,2021-10-13 19:56:49.147,2021-10-13 20:10:58.771,0,1,prolific_6165a5744ac311682252f608,0,61673343c72fdbf2f78c1a4c,615e414028ec238978febf2d,13334,https://cri-datacap.org/surveys/?s=G33ShVZCC4
popular-buffalo,4,a,finished,3,13,2021-10-13 19:57:11.727,2021-10-13 20:08:16.853,0,1,prolific_6165a5744ac311682252f608,0,6167344018f191966bc97a66,60fd0adca696b6ceb4d32318,13334,https://cri-datacap.org/surveys/?s=JYURItjViH
musical-eagle,4,a,finished,3,13,2021-10-13 19:57:42.374,2021-10-13 20:09:09.112,0,1,prolific_6165a5744ac311682252f608,0,616733c7a7619c31ad766dd3,61481042c3f4bbe5169303e8,13334,https://cri-datacap.org/surveys/?s=WbkUAYE9iu
amazing-labrador,4,a,finished,3,14,2021-10-13 19:58:54.001,2021-10-13 20:12:00.389,0,1,prolific_6165a5744ac311682252f608,0,61673396f21bd9d057976d54,61661a63a847bd28eeb8ae46,13334,https://cri-datacap.org/surveys/?s=ioN72Vb8AM
happy-lion,4,a,finished,3,13,2021-10-13 19:59:24.866,2021-10-13 20:12:00.850,0,1,prolific_6165a5744ac311682252f608,0,616733f14cdaa202203437fd,615f54a5141128cf81b7e857,13334,https://cri-datacap.org/surveys/?s=vFudAbFVRx
allowing-foxhound,4,a,finished,3,13,2021-10-13 19:59:45.975,2021-10-13 20:12:41.064,1,0,prolific_6165a5744ac311682252f608,0,61673679e4e923fb10dacfe2,601127a944914c000981d59b,13334,https://cri-datacap.org/surveys/?s=xZzs2cZCDW
healthy-drum,4,a,finished,3,13,2021-10-13 20:05:32.782,2021-10-13 20:17:17.215,0,1,prolific_6165a5744ac311682252f608,0,616734e58ab22b351bd9674a,61119add8a41b7a570c9b3dc,13334,https://cri-datacap.org/surveys/?s=tW7MbqU3R7
logical-kite,4,a,finished,3,13,2021-10-13 20:11:05.979,2021-10-13 20:22:23.049,0,1,prolific_6165a5744ac311682252f608,0,616736494c4a34d599233c21,60fe0af3873870421eff21b4,13334,https://cri-datacap.org/surveys/?s=y9QVNXHJS8
casual-dodo,4,a,finished,3,13,2021-10-13 20:13:27.788,2021-10-13 20:29:21.214,1,0,prolific_6165a5744ac311682252f608,0,6167376fcc2c767911d9787b,59306fc35f170a00014358da,13334,https://cri-datacap.org/surveys/?s=E2WsIPvGEi
meet-bat,4,a,finished,3,13,2021-10-13 20:20:03.247,2021-10-13 20:30:51.477,0,1,prolific_6165a5744ac311682252f608,0,61673810004d1f81c85d53b3,6111260791585aed439870cb,13334,https://cri-datacap.org/surveys/?s=K7uFwshJHU
champion-newt,4,a,finished,3,13,2021-10-13 20:23:30.251,2021-10-13 20:34:44.899,1,0,prolific_6165a5744ac311682252f608,0,61673e7638e7a744daf5ecb9,610844f8fbe30946464b0821,13334,https://cri-datacap.org/surveys/?s=jAVrVKMMMM
internal-locust,4,a,finished,3,13,2021-10-13 20:24:40.364,2021-10-13 20:35:39.087,0,1,prolific_6165a5744ac311682252f608,0,616737dcf5c25a0274903570,6130bfc61844b33acb432063,13334,https://cri-datacap.org/surveys/?s=XdmQ3dTVcL
sacred-muskrat,4,a,finished,3,13,2021-10-13 20:33:04.771,2021-10-13 20:50:09.250,1,0,prolific_6165a5744ac311682252f608,0,61673fcdb274850873e4fbbc,61098efe1c7dcf4133162908,13334,https://cri-datacap.org/surveys/?s=RhZ5vRhJsW
assuring-ocelot,4,a,finished,3,13,2021-10-13 21:08:24.348,2021-10-13 21:20:26.030,1,0,prolific_6165a5744ac311682252f608,0,6167381153f1a1b8a4d401b3,6110c7c7357c98e590084151,13334,https://cri-datacap.org/surveys/?s=iZINX97imj
secure-egret,4,a,finished,3,13,2021-10-13 21:15:18.680,2021-10-13 21:26:36.141,0,1,prolific_6165a5744ac311682252f608,0,61674626ef0767034822ccf4,615f7fdf1f3a4a1f73923650,13334,https://cri-datacap.org/surveys/?s=Vy9QuYQaA3
capital-finch,4,a,finished,3,13,2021-10-13 21:54:00.425,2021-10-13 22:05:08.279,0,1,prolific_6165a5744ac311682252f608,0,61674f888474bd98c0a77a87,615630f6686c2ea1a0766e23,13334,https://cri-datacap.org/surveys/?s=AYQUDfZo7A
measured-ladybird,4,a,finished,3,13,2021-10-13 21:58:23.771,2021-10-13 22:11:35.684,1,0,prolific_6165a5744ac311682252f608,0,61674ff2e8e9fe7efb6ab70f,5e95116fcd40fa88e616d9d9,13334,https://cri-datacap.org/surveys/?s=cyJMonDGsG
first-duckling,4,a,finished,3,13,2021-10-13 22:47:00.334,2021-10-13 22:57:52.160,0,1,prolific_6165a5744ac311682252f608,0,61675a7e5c69563b7cc007a4,60fdf5cb2412188c37b6d133,13334,https://cri-datacap.org/surveys/?s=pNunKdsg9C
skilled-pika,4,a,started,1,1,2021-10-13 19:07:46.501,2021-10-13 19:07:55.958,1,0,prolific_6165a5744ac311682252f608,0,61671dad69396e335b9a9b89,6155bb4f5250fc58f16eca99,13334,https://cri-datacap.org/surveys/?s=Y3436JvkJQ
glorious-lizard,4,a,started,1,1,2021-10-13 20:04:29.465,2021-10-13 20:05:29.247,1,0,prolific_6165a5744ac311682252f608,0,616733aedb6d162dfb5c6dc0,6147ea1a656b3abd1064486d,13334,https://cri-datacap.org/surveys/?s=GzzwqUyJRx
