session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
606d1a1d78330edb7a4eae40,60616774d9d9258919fe1946,AWAITING REVIEW,2021-04-07 02:34:05.652000,2021-04-07 04:12:42.965000,5917.313,19,47,1,99,,NOCODE,United States,United States,Part-Time,DATA EXPIRED,United States,Male,Yes
606d1a3fc8a8e1f8029fab6c,5f7058deeb83ab60bb836eae,AWAITING REVIEW,2021-04-07 02:34:39.376000,2021-04-07 03:21:26.937000,2807.561,20,459,2,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,Yes
606d1a6751abef2143124bbb,5fdbd0c98929f00b48b7a9a3,RETURNED,2021-04-07 02:35:18.919000,,137660.141332,23,184,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1a7608551e0d43c520d1,5f12749ec1ac141c20bf38ab,AWAITING REVIEW,2021-04-07 02:35:34.763000,2021-04-07 03:44:34.913000,4140.15,19,479,0,100,,4A526F60,Canada,United States,Unemployed (and job seeking),English,United States,Female,Yes
606d1a85aeef049c936b0907,604696d21c4a1e0d5881548a,AWAITING REVIEW,2021-04-07 02:35:50.928000,2021-04-07 03:30:47.282000,3296.354,19,53,0,100,,NOCODE,United States,United States,Other,DATA EXPIRED,United States,Male,Yes
606d1aacc3c55e62a902db82,605e42cc59833acecfd3f301,AWAITING REVIEW,2021-04-07 02:36:32.705000,2021-04-07 03:35:35.496000,3542.791,25,50,0,100,,4A526F60,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No
606d1ab552f793ea76a7a0f9,5ecb0bb39b4189656f60872b,AWAITING REVIEW,2021-04-07 02:41:57.577000,2021-04-07 03:35:20.182000,3202.605,21,625,0,100,,4A526F60,United States,United States,Part-Time,English,United States,Female,Yes
606d1abd4308e5cf09e9efb6,6057b12ff610232fc617bb69,AWAITING REVIEW,2021-04-07 02:36:47.232000,2021-04-07 02:58:38.060000,1310.828,19,30,0,100,,NOCODE,United States,United States,Part-Time,DATA EXPIRED,United States,Female,Yes
606d1acb63d0e98b04e89d23,5f8120ed0c4ed61e386b4302,RETURNED,2021-04-07 02:37:02.162000,,137556.972861,24,444,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1aefa5fe29102b006d89,605f5e75af91a54f974d9cf2,RETURNED,2021-04-07 02:37:38.161000,,137520.973971,21,44,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1b220a976b4e95b043dd,5c565e4ae66e510001ee8fce,AWAITING REVIEW,2021-04-07 02:38:30.252000,2021-04-07 03:37:45.626000,3555.374,25,1052,8,98,,4A526F60,United States,United States,Due to start a new job within the next month,English,United States,Female,Yes
