subid,gender,condition,error,trial
14,2,0,0,35
14,2,0,1,36
14,2,0,5,37
14,2,0,5,38
14,2,0,2,39
14,2,0,6,40
14,2,0,1,41
14,2,0,3,42
15,2,0,1,1
15,2,0,0,2
15,2,0,5,3
15,2,0,1,4
15,2,0,5,5
15,2,0,2,6
15,2,0,3,7
15,2,0,1,8
15,2,0,4,9
15,2,0,4,10
15,2,0,4,11
15,2,0,1,12
15,2,0,0,13
15,2,0,2,14
15,2,0,4,15
15,2,0,0,16
15,2,0,2,17
15,2,0,2,18
15,2,0,3,19
15,2,0,7,20
15,2,0,6,21
15,2,0,1,22
15,2,0,2,23
15,2,0,2,24
15,2,0,7,25
15,2,0,0,26
15,2,0,1,27
15,2,0,1,28
15,2,0,1,29
15,2,0,2,30
15,2,0,0,31
15,2,0,1,32
15,2,0,1,33
15,2,0,2,34
15,2,0,0,35
15,2,0,2,36
15,2,0,2,37
15,2,0,2,38
15,2,0,2,39
15,2,0,5,40
15,2,0,3,41
15,2,0,4,42
16,1,0,1,1
16,1,0,0,2
16,1,0,1,3
16,1,0,5,4
16,1,0,3,5
16,1,0,9,6
16,1,0,2,7
16,1,0,2,8
16,1,0,1,9
16,1,0,3,10
16,1,0,0,11
16,1,0,2,12
16,1,0,2,13
16,1,0,3,14
16,1,0,3,15
16,1,0,1,16
16,1,0,2,17
16,1,0,4,18
16,1,0,3,19
16,1,0,5,20
16,1,0,0,21
16,1,0,3,22
16,1,0,3,23
16,1,0,4,24
16,1,0,3,25
16,1,0,3,26
16,1,0,1,27
16,1,0,5,28
16,1,0,4,29
16,1,0,0,30
16,1,0,4,31
16,1,0,4,32
16,1,0,5,33
16,1,0,0,34
16,1,0,1,35
16,1,0,1,36
16,1,0,5,37
16,1,0,0,38
16,1,0,2,39
16,1,0,5,40
16,1,0,0,41
16,1,0,1,42
17,2,0,0,1
17,2,0,0,2
17,2,0,7,3
17,2,0,2,4
17,2,0,4,5
17,2,0,1,6
17,2,0,1,7
17,2,0,2,8
17,2,0,3,9
17,2,0,1,10
17,2,0,2,11
17,2,0,5,12
17,2,0,2,13
17,2,0,2,14
17,2,0,3,15
17,2,0,2,16
17,2,0,1,17
17,2,0,3,18
17,2,0,1,19
17,2,0,0,20
17,2,0,1,21
17,2,0,5,22
17,2,0,2,23
17,2,0,0,24
17,2,0,3,25
17,2,0,1,26
17,2,0,1,27
17,2,0,2,28
17,2,0,1,29
17,2,0,2,30
17,2,0,3,31
17,2,0,2,32
17,2,0,5,33
17,2,0,0,34
17,2,0,0,35
17,2,0,1,36
17,2,0,0,37
17,2,0,1,38
17,2,0,1,39
17,2,0,2,40
17,2,0,2,41
17,2,0,0,42
18,2,0,7,1
18,2,0,3,2
18,2,0,4,3
18,2,0,5,4
18,2,0,7,5
18,2,0,3,6
18,2,0,2,7
18,2,0,3,8
18,2,0,8,9
18,2,0,0,10
18,2,0,3,11
18,2,0,2,12
18,2,0,4,13
18,2,0,4,14
18,2,0,4,15
18,2,0,5,16
18,2,0,2,17
18,2,0,3,18
18,2,0,0,19
18,2,0,4,20
18,2,0,5,21
18,2,0,2,22
18,2,0,1,23
18,2,0,1,24
18,2,0,0,25
18,2,0,5,26
18,2,0,1,27
18,2,0,1,28
18,2,0,2,29
18,2,0,1,30
18,2,0,3,31
18,2,0,1,32
18,2,0,2,33
18,2,0,2,34
18,2,0,6,35
18,2,0,2,36
18,2,0,2,37
18,2,0,3,38
18,2,0,4,39
18,2,0,6,40
18,2,0,0,41
18,2,0,6,42
19,2,0,5,1
19,2,0,3,2
19,2,0,5,3
19,2,0,0,4
19,2,0,3,5
19,2,0,8,6
19,2,0,2,7
19,2,0,3,8
19,2,0,5,9
19,2,0,6,10
19,2,0,1,11
19,2,0,1,12
19,2,0,1,13
19,2,0,4,14
19,2,0,2,15
19,2,0,2,16
19,2,0,4,17
19,2,0,6,18
19,2,0,4,19
19,2,0,1,20
19,2,0,1,21
19,2,0,7,22
19,2,0,3,23
19,2,0,0,24
19,2,0,3,25
19,2,0,3,26
19,2,0,4,27
19,2,0,3,28
19,2,0,1,29
19,2,0,1,30
19,2,0,1,31
19,2,0,5,32
19,2,0,0,33
19,2,0,1,34
19,2,0,2,35
19,2,0,4,36
19,2,0,4,37
19,2,0,4,38
19,2,0,8,39
19,2,0,2,40
19,2,0,0,41
19,2,0,1,42
20,2,0,4,1
20,2,0,2,2
20,2,0,4,3
20,2,0,1,4
20,2,0,2,5
20,2,0,3,6
20,2,0,0,7
20,2,0,2,8
20,2,0,1,9
20,2,0,2,10
20,2,0,3,11
20,2,0,4,12
20,2,0,3,13
20,2,0,3,14
20,2,0,1,15
20,2,0,0,16
20,2,0,3,17
20,2,0,4,18
20,2,0,0,19
20,2,0,2,20
20,2,0,0,21
20,2,0,1,22
20,2,0,6,23
20,2,0,2,24
